SKU_종이,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종이류 우선 정비본입니다. 구가격과 구품절 상태는 현재 운영 값이 아니라 과거 참고값입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sku_code_draft,product_code,제품군,SKU명,규격유형,가로_mm,세로_mm,높이_mm,지름_mm,띠길이_mm,띠폭_mm,색상,재질,1차포장수량,1차포장단위,2차포장수량,2차포장단위,판매단위수량,판매단위,구제품단가_부가세별도,구판매가격_부가세별도,구상태,공식사이트등재,공식사이트표기,검증상태,검증메모,원본행,출처_구엑셀,출처_공식사이트
S-CAST-001,P-PPR-001,밀봉 카스테라,밀봉 카스테라 (대),직사각컵,160,70,50,,,,흰색,노루지,200,장/1개,,,40,개/1상자,"2,500","100,000",기재없음,예,160×70×50mm / 색상 노랑·무색·초코 / 노루지,부분확인,구엑셀 색상은 흰색 1종만 기재; 공식사이트는 노랑·무색·초코 표기,4,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-PCUP-001,P-PPR-002,파운드 케익컵,파운드 케익컵 노랑 대,직사각컵,235,80,65,,,,노랑,노루지,100,장/1개,,,20,개/1상자,"3,000","60,000",기재없음,예,235×80×65mm / 황노루지,부분확인,,7,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-PCUP-002,P-PPR-002,파운드 케익컵,파운드 케익컵 노랑 중,직사각컵,200,70,60,,,,노랑,노루지,100,장/1개,,,20,개/1상자,"2,500","50,000",기재없음,예,200×70×60mm / 황노루지,부분확인,,8,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-PCUP-003,P-PPR-002,파운드 케익컵,파운드 케익컵 노랑 소,직사각컵,165,60,55,,,,노랑,노루지,100,장/1개,,,20,개/1상자,"2,200","44,000",기재없음,예,165×60×55mm / 황노루지,부분확인,,9,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-PCUP-004,P-PPR-002,파운드 케익컵,파운드 케익컵 색상미확인 미니,직사각컵,130,50,50,,,,,,,,,,,,,,기재없음,미확인,,검증필요,,10,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-PCUP-005,P-PPR-002,파운드 케익컵,파운드 케익컵 흰색 대,직사각컵,235,80,65,,,,흰색,유산지,100,장/1개,,,20,개/1상자,"3,500","70,000",기재없음,예,235×80×56/65mm / 백노루지,상충,"구엑셀 재질은 유산지, 공식사이트는 백노루지; 공식사이트 표에서 높이 56mm, 상세 문구는 65mm로 상충",11,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-PCUP-006,P-PPR-002,파운드 케익컵,파운드 케익컵 흰색 중,직사각컵,200,70,60,,,,흰색,유산지,100,장/1개,,,20,개/1상자,"3,000","60,000",기재없음,예,200×70×60mm / 백노루지,상충,"구엑셀 재질은 유산지, 공식사이트는 백노루지",12,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-PCUP-007,P-PPR-002,파운드 케익컵,파운드 케익컵 흰색 소,직사각컵,165,60,55,,,,흰색,유산지,100,장/1개,,,20,개/1상자,,0,기재없음,미확인,,상충,"구엑셀 재질은 유산지, 공식사이트는 백노루지",13,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-001,P-PPR-003,머핀컵,머핀컵 55mm 무색,원형,,,45,55,,,무색,유산지,200,장/1개,,,60,개/1상자,"1,100","66,000",기재없음,예,55mm / 높이 45mm / 무색,검증필요,,16,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-002,P-PPR-003,머핀컵,머핀컵 55mm 빨강,원형,,,45,55,,,빨강,노루지,200,장/1개,,,60,개/1상자,"1,500","90,000",품절,예,55mm / 높이 45mm / 빨강,검증필요,,17,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-003,P-PPR-003,머핀컵,머핀컵 55mm 주황,원형,,,45,55,,,주황,노루지,200,장/1개,,,60,개/1상자,"1,500","90,000",품절,예,55mm / 높이 45mm / 주황,검증필요,,18,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-004,P-PPR-003,머핀컵,머핀컵 55mm 노랑,원형,,,45,55,,,노랑,노루지,200,장/1개,,,60,개/1상자,"1,500","90,000",기재없음,예,55mm / 높이 45mm / 노랑,검증필요,,19,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-005,P-PPR-003,머핀컵,머핀컵 55mm 초록,원형,,,45,55,,,초록,노루지,200,장/1개,,,60,개/1상자,"1,500","90,000",품절,예,55mm / 높이 45mm / 초록,검증필요,,20,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-006,P-PPR-003,머핀컵,머핀컵 55mm 초록 줄무늬,원형,,,45,55,,,초록 줄무늬,노루지,200,장/1개,,,60,개/1상자,"1,500","90,000",기재없음,예,55mm / 높이 45mm / 초록 줄무늬,검증필요,,21,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-007,P-PPR-003,머핀컵,머핀컵 55mm 초코,원형,,,45,55,,,초코,노루지,200,장/1개,,,60,개/1상자,"1,500","90,000",기재없음,예,55mm / 높이 45mm / 초코,검증필요,,22,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-008,P-PPR-003,머핀컵,머핀컵 55mm 분홍,원형,,,45,55,,,분홍,노루지,200,장/1개,,,60,개/1상자,"1,500","90,000",기재없음,예,55mm / 높이 45mm / 분홍,검증필요,,23,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-009,P-PPR-003,머핀컵,머핀컵 45mm 무색,원형,,,40,45,,,무색,유산지,200,장/1개,,,60,개/1상자,"1,100","66,000",기재없음,예,45mm / 높이 40mm / 무색,검증필요,,24,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-010,P-PPR-003,머핀컵,머핀컵 45mm 빨강,원형,,,40,45,,,빨강,노루지,200,장/1개,,,60,개/1상자,"1,500","90,000",기재없음,예,45mm / 높이 40mm / 빨강,검증필요,,25,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-011,P-PPR-003,머핀컵,머핀컵 45mm 노랑,원형,,,40,45,,,노랑,노루지,200,장/1개,,,60,개/1상자,"1,500","90,000",기재없음,예,45mm / 높이 40mm / 노랑,검증필요,,26,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-012,P-PPR-003,머핀컵,머핀컵 45mm 초록,원형,,,40,45,,,초록,노루지,200,장/1개,,,60,개/1상자,"1,500","90,000",기재없음,예,45mm / 높이 40mm / 초록,검증필요,,27,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-013,P-PPR-003,머핀컵,머핀컵 45mm 파랑,원형,,,40,45,,,파랑,노루지,200,장/1개,,,60,개/1상자,"1,500","90,000",기재없음,예,45mm / 높이 40mm / 파랑,검증필요,,28,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-014,P-PPR-003,머핀컵,머핀컵 45mm 초코,원형,,,40,45,,,초코,노루지,200,장/1개,,,60,개/1상자,"1,500","90,000",기재없음,예,45mm / 높이 40mm / 초코,검증필요,,29,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-015,P-PPR-003,머핀컵,머핀컵 40mm 무색,원형,,,30,40,,,무색,노루지,200,장/1개,,,60,개/1상자,900,"54,000",기재없음,예,40mm / 높이 30mm / 무색,검증필요,,30,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-016,P-PPR-003,머핀컵,머핀컵 40mm 빨강,원형,,,30,40,,,빨강,노루지,200,장/1개,,,60,개/1상자,"1,350","81,000",품절,예,40mm / 높이 30mm / 빨강,검증필요,,31,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-017,P-PPR-003,머핀컵,머핀컵 40mm 노랑,원형,,,30,40,,,노랑,노루지,200,장/1개,,,60,개/1상자,"1,350","81,000",품절,예,40mm / 높이 30mm / 노랑,검증필요,,32,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-018,P-PPR-003,머핀컵,머핀컵 40mm 초록,원형,,,30,40,,,초록,노루지,200,장/1개,,,60,개/1상자,"1,350","81,000",품절,예,40mm / 높이 30mm / 초록,검증필요,,33,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-019,P-PPR-003,머핀컵,머핀컵 40mm 초코,원형,,,30,40,,,초코,노루지,200,장/1개,,,60,개/1상자,"1,350","81,000",기재없음,예,40mm / 높이 30mm / 초코,검증필요,,34,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-020,P-PPR-003,머핀컵,머핀컵 28mm 무색,원형,,,25,28,,,무색,노루지,250,장/1개,4,개/상자,30,상자/1큰박스,"2,000","240,000",기재없음,예,28mm / 높이 25mm / 무색,검증필요,,35,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-021,P-PPR-003,머핀컵,머핀컵 28mm 빨강,원형,,,25,28,,,빨강,노루지,250,장/1개,4,개/상자,30,상자/1큰박스,"2,000","240,000",기재없음,예,28mm / 높이 25mm / 빨강,검증필요,,36,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-022,P-PPR-003,머핀컵,머핀컵 28mm 노랑,원형,,,25,28,,,노랑,노루지,250,장/1개,4,개/상자,30,상자/1큰박스,"2,000","240,000",기재없음,예,28mm / 높이 25mm / 노랑,검증필요,,37,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-023,P-PPR-003,머핀컵,머핀컵 28mm 초록,원형,,,25,28,,,초록,노루지,250,장/1개,4,개/상자,30,상자/1큰박스,"2,000","240,000",기재없음,예,28mm / 높이 25mm / 초록,검증필요,,38,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-024,P-PPR-003,머핀컵,머핀컵 28mm 파랑,원형,,,25,28,,,파랑,노루지,250,장/1개,4,개/상자,30,상자/1큰박스,"2,000","240,000",기재없음,예,28mm / 높이 25mm / 파랑,검증필요,,39,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-025,P-PPR-003,머핀컵,머핀컵 28mm 초코,원형,,,25,28,,,초코,노루지,250,장/1개,4,개/상자,30,상자/1큰박스,"2,000","240,000",기재없음,예,28mm / 높이 25mm / 초코,검증필요,,40,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-026,P-PPR-003,머핀컵,머핀컵 25mm 빨강,원형,,,20,25,,,빨강,노루지,250,장/1개,4,개/상자,30,상자/1큰박스,"2,000","240,000",기재없음,미확인,25mm / 높이 20mm / 빨강,검증필요,24mm 제품의 구엑셀 지름이 25mm로 기재됨,41,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-027,P-PPR-003,머핀컵,머핀컵 25mm 주황,원형,,,20,25,,,주황,노루지,250,장/1개,4,개/상자,30,상자/1큰박스,"2,000","240,000",품절,미확인,25mm / 높이 20mm / 주황,검증필요,24mm 제품의 구엑셀 지름이 25mm로 기재됨,42,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-028,P-PPR-003,머핀컵,머핀컵 25mm 노랑,원형,,,20,25,,,노랑,노루지,250,장/1개,4,개/상자,30,상자/1큰박스,"2,000","240,000",기재없음,미확인,25mm / 높이 20mm / 노랑,검증필요,24mm 제품의 구엑셀 지름이 25mm로 기재됨,43,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-029,P-PPR-003,머핀컵,머핀컵 25mm 초록,원형,,,20,25,,,초록,노루지,250,장/1개,4,개/상자,30,상자/1큰박스,"2,000","240,000",기재없음,미확인,25mm / 높이 20mm / 초록,검증필요,24mm 제품의 구엑셀 지름이 25mm로 기재됨,44,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-030,P-PPR-003,머핀컵,머핀컵 25mm 파랑,원형,,,20,25,,,파랑,노루지,250,장/1개,4,개/상자,30,상자/1큰박스,"2,000","240,000",기재없음,미확인,25mm / 높이 20mm / 파랑,검증필요,24mm 제품의 구엑셀 지름이 25mm로 기재됨,45,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-031,P-PPR-003,머핀컵,머핀컵 25mm 초코,원형,,,20,25,,,초코,노루지,250,장/1개,4,개/상자,30,상자/1큰박스,"2,000","240,000",품절,미확인,25mm / 높이 20mm / 초코,검증필요,24mm 제품의 구엑셀 지름이 25mm로 기재됨,46,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-GADA-001,P-PPR-004,갱지가다,갱지가다 미니,원형시트+띠,,,,120,450,60,흰색,노루지,1000,장/1상자 : 원형시트와 띠 각각 700장씩임,,,1,상자,"4,000","4,000",기재없음,예,지름 120/124 / 띠 450×60mm / 백노루지,상충,"공식사이트 표는 지름 124mm, 상세 문구와 구엑셀은 120mm",49,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-GADA-002,P-PPR-004,갱지가다,갱지가다 1호,원형시트+띠,,,,150,555,60,흰색,노루지,700,장/1상자,,,1,상자,"5,000","6,000",기재없음,예,지름 150 / 띠 555×60mm / 백노루지,부분확인,,50,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-GADA-003,P-PPR-004,갱지가다,갱지가다 2호,원형시트+띠,,,,180,650,60,흰색,노루지,700,장/1상자,,,1,상자,"6,000","6,500",기재없음,예,지름 180 / 띠 650×60mm / 백노루지,부분확인,,51,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-GADA-004,P-PPR-004,갱지가다,갱지가다 3호,원형시트+띠,,,,210,750,60,흰색,노루지,700,장/1상자,,,1,상자,"7,000","7,000",기재없음,예,지름 210 / 띠 750×60mm / 백노루지,부분확인,,52,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-GADA-005,P-PPR-004,갱지가다,갱지가다 4호,원형시트+띠,,,,240,805,60,흰색,노루지,700,장/1상자,,,1,상자,"8,000","8,000",기재없음,예,지름 240 / 띠 805×60mm / 백노루지,부분확인,,53,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-GADA-006,P-PPR-004,갱지가다,갱지가다 5호,원형시트+띠,,,,260,905,60,흰색,노루지,700,장/1상자,,,1,상자,"9,000","9,000",기재없음,예,지름 260 / 띠 905×60mm / 백노루지,부분확인,,54,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-GADA-007,P-PPR-004,갱지가다,갱지가다 6호,원형시트+띠,,,,,,60,흰색,노루지,700,장/1상자,,,1,상자,"10,000","10,000",기재없음,아니오/미등재,,상충,공식사이트 현재 제품표에는 6호 미등재,55,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-GADA-HEART-000,P-PPR-004,갱지가다,하트모양 갱지가다 미니,하트시트+띠,,,,,,,,노루지,,,,,,,,,,,,,,,,
S-GADA-HEART-001,P-PPR-004,갱지가다,하트모양 갱지가다 1호,하트시트+띠,,,,,,,,노루지,,,,,,,,,,,,,,,,
S-GADA-HEART-002,P-PPR-004,갱지가다,하트모양 갱지가다 2호,하트시트+띠,,,,200*185,750,60,흰색,노루지,500,장/1상자,,,,,,,,,,,,,,
S-GADA-HEART-003,P-PPR-004,갱지가다,하트모양 갱지가다 3호,하트시트+띠,,,,235*210,805,60,흰색,노루지,500,장/1상자,,,,,,,,,,,,,,
S-SHEET-001,P-PPR-005,식품지,유산지,평지,,,,,,,흰색,유산지,1000,장/1상자,,,1,상자,"30,000","30,000",기재없음,예,유산지 / 고객 맞춤 제작,부분확인,규격은 맞춤 제작 가능; 갱지 구엑셀 기본 규격 540×390mm,58,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-SHEET-002,P-PPR-005,식품지,노루지,평지,,,,,,,흰색,노루지,1000,장/1상자,,,1,상자,"29,000","29,000",기재없음,예,노루지 / 고객 맞춤 제작,부분확인,규격은 맞춤 제작 가능; 갱지 구엑셀 기본 규격 540×390mm,59,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-SHEET-003,P-PPR-005,식품지,갱지,평지,540,390,,,,,흰색,갱지,1000,장/1상자,,,1,상자,"27,000","27,000",기재없음,예,갱지 / 고객 맞춤 제작,부분확인,규격은 맞춤 제작 가능; 갱지 구엑셀 기본 규격 540×390mm,60,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-CAKE-001,P-PPR-006,케익컵,케익컵 미니,원형컵,,,33,110,,,무색,유산지,100,장/1상자,,,60,상자/1큰상자,"3,000","180,000",기재없음,예,지름 110mm / 높이 33mm / 유산지,부분확인,구가격·품절 여부는 4년 전 자료이므로 현재 확인 필요,64,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-CAKE-002,P-PPR-006,케익컵,케익컵 1호,원형컵,,,44,140,,,무색,유산지,100,장/1상자,,,30,상자/1큰상자,"3,500","105,000",기재없음,예,지름 140mm / 높이 44mm / 유산지,부분확인,구가격·품절 여부는 4년 전 자료이므로 현재 확인 필요,65,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-CAKE-003,P-PPR-006,케익컵,케익컵 2호,원형컵,,,44,160,,,무색,유산지,100,장/1상자,,,30,상자/1큰상자,"4,000","120,000",기재없음,예,지름 160mm / 높이 44mm / 유산지,부분확인,구가격·품절 여부는 4년 전 자료이므로 현재 확인 필요,66,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-CAKE-004,P-PPR-006,케익컵,케익컵 3호,원형컵,,,45,200,,,무색,유산지,100,장/1상자,,,1,상자,"5,000","5,000",품절,예,지름 200mm / 높이 45mm / 유산지,부분확인,구가격·품절 여부는 4년 전 자료이므로 현재 확인 필요,67,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-CAKE-005,P-PPR-006,케익컵,케익컵 4호,원형컵,,,65,235,,,무색,유산지,100,장/1상자,,,1,상자,"7,000","7,000",기재없음,예,지름 235mm / 높이 65mm / 유산지,부분확인,구가격·품절 여부는 4년 전 자료이므로 현재 확인 필요,68,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-KNIF-001,P-PPR-007,종이칼,일석삼조 종이칼,칼형,,,,,,,흰색,,50,장/1상자,,,10,상자/1지대,"4,000","40,000",기재없음,예,종이칼 / 흰색 / 식품지,검증필요,"구엑셀 재질 공란, 공식사이트는 식품지로 표기",71,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-001,P-PPR-008,엠보 식품지,엠보 식품지 정팔각 250mm,정팔각,250,250,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정팔각 250×250mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,74,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-002,P-PPR-008,엠보 식품지,엠보 식품지 정팔각 275mm,정팔각,275,275,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정팔각 275×275mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,75,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-003,P-PPR-008,엠보 식품지,엠보 식품지 정팔각 300mm,정팔각,300,300,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정팔각 300×300mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,76,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-004,P-PPR-008,엠보 식품지,엠보 식품지 정팔각 310mm,정팔각,310,310,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정팔각 310×310mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,77,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-005,P-PPR-008,엠보 식품지,엠보 식품지 정팔각 330mm,정팔각,330,330,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정팔각 330×330mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,78,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-006,P-PPR-008,엠보 식품지,엠보 식품지 정팔각 450mm,정팔각,450,450,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정팔각 450×450mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,79,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-007,P-PPR-008,엠보 식품지,엠보 식품지 정사각 250mm,정사각,250,250,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정사각 250×250mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,80,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
